"ID";"Longitude";"Latitude";"Climate";"MAP";"MAT";"pH";"SOC";"NO3--N";"NH4+-N";"MBC";"DR";"MOA";"nirK gene abundance";"nirS gene abundance";"pmoA gene abundance";"NMDS1";"NMDS2"
13;112,51;30,34;"Subtropical";1.200,00;16,25;6,26;1,45;0,07;28,07;200,09;10,53;5,14;436.000,00;8.900.000,00;75.900.000,00;0,73;-0,75
14;112,51;30,34;"Subtropical";1.200,00;16,25;6,30;1,65;0,03;26,77;134,96;16,56;12,19;959.000,00;6.970.000,00;64.200.000,00;0,56;-0,64
15;112,51;30,35;"Subtropical";1.200,00;16,25;7,02;1,25;0,04;26,65;173,65;12,80;12,61;1.020.000,00;12.700.000,00;86.300.000,00;0,65;-0,22
16;112,51;30,35;"Subtropical";1.200,00;16,25;7,02;1,78;0,02;26,68;133,88;13,70;6,68;1.190.000,00;9.080.000,00;66.700.000,00;0,75;-0,23
17;112,51;30,35;"Subtropical";1.200,00;16,25;7,02;1,84;0,29;26,58;42,45;8,00;3,20;1.280.000,00;10.500.000,00;74.000.000,00;1,08;-0,19
18;112,74;30,44;"Subtropical";1.137,50;16,60;6,64;1,43;0,75;25,95;459,55;10,82;1,95;5.590.000,00;21.500.000,00;241.000.000,00;-0,52;-0,08
19;112,74;30,44;"Subtropical";1.137,50;16,60;6,59;1,43;0,69;25,72;315,55;12,21;38,81;5.060.000,00;41.200.000,00;291.000.000,00;-0,35;-0,10
20;112,74;30,44;"Subtropical";1.137,50;16,60;6,74;1,43;0,59;25,02;271,49;5,09;20,94;6.280.000,00;43.100.000,00;288.000.000,00;-0,41;-0,15
21;112,68;30,37;"Subtropical";1.137,50;16,60;6,77;1,64;0,63;26,16;972,28;16,31;3,21;3.090.000,00;14.800.000,00;128.000.000,00;-0,27;0,01
22;112,68;30,37;"Subtropical";1.137,50;16,60;6,81;1,86;0,07;26,02;462,82;8,98;3,49;2.080.000,00;1.900.000,00;112.000.000,00;-0,17;-0,02
23;112,68;30,37;"Subtropical";1.137,50;16,60;6,62;1,76;0,38;26,63;573,20;7,66;4,72;1.720.000,00;10.100.000,00;126.000.000,00;-0,07;-0,13
24;112,68;30,37;"Subtropical";1.137,50;16,60;7,00;1,56;0,20;27,93;466,15;4,89;5,22;2.220.000,00;26.400.000,00;28.100.000,00;-0,49;-0,08
25;112,68;30,37;"Subtropical";1.137,50;16,60;6,93;1,69;0,09;26,63;325,64;11,40;6,32;914.000,00;503.000,00;15.000.000,00;0,02;-0,23
26;113,39;29,79;"Subtropical";1.195,80;16,60;7,17;0,84;0,42;27,81;94,53;4,95;5,67;1.630.000,00;1.310.000,00;27.800.000,00;-1,04;0,14
27;113,39;29,79;"Subtropical";1.196,80;16,60;7,22;1,11;0,49;27,42;59,68;9,25;3,98;3.440.000,00;2.030.000,00;65.100.000,00;-0,99;0,15
28;113,39;29,79;"Subtropical";1.198,80;16,60;6,85;1,56;0,20;27,72;235,44;6,65;18,71;1.830.000,00;1.060.000,00;12.400.000,00;-0,52;0,78
29;113,39;29,79;"Subtropical";1.199,80;16,60;6,99;1,17;0,24;27,66;87,61;5,66;2,97;571.000,00;443.000,00;23.500.000,00;-0,56;0,69
30;113,39;29,79;"Subtropical";1.201,80;16,60;7,03;1,76;0,52;27,95;375,24;6,13;8,70;3.830.000,00;2.930.000,00;144.000.000,00;-0,68;0,31
31;113,39;29,79;"Subtropical";1.202,80;16,60;7,03;1,53;0,24;25,82;1.033,48;4,54;10,82;248.000,00;1.040.000,00;36.400.000,00;-0,72;0,26
32;113,39;29,79;"Subtropical";1.203,80;16,60;7,10;1,74;0,28;27,28;333,19;4,62;2,31;2.280.000,00;1.540.000,00;118.000.000,00;-0,90;0,34
33;112,98;29,91;"Subtropical";1.200,00;16,25;7,00;1,43;1,70;23,31;1.248,74;41,90;7,81;2.380.000,00;1.410.000,00;90.600.000,00;-0,63;0,30
34;112,98;29,91;"Subtropical";1.200,00;16,25;6,95;1,42;0,35;27,39;357,35;4,03;15,92;1.040.000,00;319.000,00;19.100.000,00;0,13;0,05
35;112,98;29,91;"Subtropical";1.200,00;16,25;6,68;2,17;1,39;24,22;742,21;5,37;18,46;1.110.000,00;17.100.000,00;22.300.000,00;0,02;0,13
36;112,98;29,91;"Subtropical";1.200,00;16,25;6,67;2,50;0,94;25,27;912,45;5,25;3,79;2.000.000,00;1.120.000,00;41.900.000,00;0,12;0,17
37;115,32;30,44;"Subtropical";1.350,00;16,90;6,21;1,43;0,28;26,75;325,79;10,65;14,39;266.000,00;35.600.000,00;10.100.000,00;1,72;1,04
38;115,32;30,44;"Subtropical";1.350,00;16,90;5,52;1,35;0,14;27,21;164,52;8,80;19,25;882.000,00;524.000,00;32.300.000,00;1,78;0,79
39;115,32;30,44;"Subtropical";1.350,00;16,90;5,74;1,18;0,08;27,48;256,88;8,08;28,64;695.000,00;225.000,00;11.200.000,00;1,42;0,84
40;115,32;30,44;"Subtropical";1.350,00;16,90;7,02;1,72;0,09;26,53;283,33;14,47;10,18;245.000,00;192.000,00;9.680.000,00;1,32;0,68
41;115,32;30,44;"Subtropical";1.350,00;16,90;7,02;1,51;0,12;27,65;211,40;14,12;14,18;298.000,00;169.000,00;11.300.000,00;1,70;1,30
42;118,02;31,36;"Subtropical";1.170,50;15,80;6,41;1,63;1,47;27,47;368,48;4,11;14,87;2.280.000,00;2.490.000,00;41.500.000,00;-0,12;0,74
43;118,02;31,36;"Subtropical";1.170,50;15,80;6,90;1,32;0,17;26,68;365,95;12,64;4,97;1.250.000,00;16.900.000,00;33.000.000,00;-0,09;1,13
44;116,29;31,14;"Subtropical";1.366,00;15,30;5,83;2,03;0,04;26,02;1.009,64;12,31;15,56;3.820.000,00;16.800.000,00;43.800.000,00;1,51;0,50
45;116,29;31,14;"Subtropical";1.366,00;15,30;7,02;1,46;0,18;26,76;681,24;2,62;6,47;2.480.000,00;9.200.000,00;33.100.000,00;1,23;0,49
46;112,45;29,23;"Subtropical";1.237,70;16,60;7,22;1,14;1,00;28,00;286,08;8,86;2,98;659.000,00;12.400.000,00;19.200.000,00;-0,78;0,93
47;112,45;29,23;"Subtropical";1.237,70;16,60;7,14;1,56;0,08;28,36;182,57;5,76;6,97;279.000,00;4.160.000,00;24.000.000,00;-0,32;1,13
48;112,45;29,23;"Subtropical";1.237,70;16,60;7,16;1,90;0,19;27,20;292,20;16,82;16,70;1.030.000,00;23.800.000,00;21.500.000,00;-0,66;0,49
49;112,85;29,51;"Subtropical";1.443,45;17,15;7,40;1,19;0,38;28,00;86,38;3,98;4,38;848.000,00;24.600.000,00;22.100.000,00;-0,91;1,48
50;112,85;29,51;"Subtropical";1.443,45;17,15;7,31;1,50;0,23;25,52;1.258,33;6,20;15,74;3.350.000,00;2.260.000,00;138.000.000,00;-0,50;0,46
