"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
211,Red soil,13C,3,13,"1,70740 ","5,93E+05","6,42E+05","4,84E+04"
212,Red soil,13C,3,14,"1,70292 ","4,14E+05","1,14E+05","2,58E+04"
213,Red soil,13C,3,15,"1,70068 ","2,03E+05","4,80E+04","7,71E+03"
214,Red soil,13C,3,16,"1,69732 ","1,24E+04","9,33E+03","4,43E+02"
215,Red soil,13C,3,17,"1,69508 ","1,25E+03","3,01E+03","2,57E+01"
216,Red soil,13C,3,18,"1,68836 ","2,42E+04","5,63E+04","1,76E+03"
217,Yellow soil,12C,1,1,"1,73541 ","6,02E+03","1,07E+03","6,57E+01"
218,Yellow soil,12C,1,2,"1,73429 ","1,80E+04","3,60E+03","1,99E+02"
219,Yellow soil,12C,1,3,"1,73317 ","1,02E+04","1,83E+03","1,45E+02"
220,Yellow soil,12C,1,4,"1,73093 ","1,92E+04","3,47E+03","2,20E+02"
221,Yellow soil,12C,1,5,"1,72868 ","2,13E+04","5,78E+03","2,74E+02"
222,Yellow soil,12C,1,6,"1,72532 ","4,22E+04","1,39E+04","5,17E+02"
223,Yellow soil,12C,1,7,"1,72196 ","1,32E+05","9,85E+04","2,46E+03"
224,Yellow soil,12C,1,8,"1,71860 ","3,36E+05","4,16E+05","5,61E+03"
225,Yellow soil,12C,1,9,"1,71524 ","2,13E+06","1,43E+06","2,15E+04"
226,Yellow soil,12C,1,10,"1,71188 ","8,72E+06","3,07E+06","1,02E+05"
227,Yellow soil,12C,1,11,"1,70852 ","8,42E+06","1,79E+06","1,04E+05"
228,Yellow soil,12C,1,12,"1,70516 ","1,12E+07","4,89E+05","4,63E+04"
229,Yellow soil,12C,1,13,"1,70180 ","9,20E+06","1,92E+05","1,91E+04"
230,Yellow soil,12C,1,14,"1,69844 ","6,35E+06","5,58E+04","5,02E+03"
231,Yellow soil,12C,1,15,"1,69620 ","1,14E+06","2,17E+04","2,16E+03"
232,Yellow soil,12C,1,16,"1,69396 ","6,58E+05","1,71E+04","9,32E+02"
233,Yellow soil,12C,1,17,"1,69172 ","1,96E+05","6,80E+04","6,08E+03"
234,Yellow soil,12C,1,18,"1,65811 ","2,34E+05","4,09E+04","1,49E+03"
235,Yellow soil,12C,2,1,"1,73653 ","3,61E+03","1,46E+03","1,45E+02"
236,Yellow soil,12C,2,2,"1,73541 ","4,25E+03","1,62E+03","3,04E+02"
237,Yellow soil,12C,2,3,"1,73317 ","4,38E+03","1,79E+03","2,39E+02"
238,Yellow soil,12C,2,4,"1,73093 ","3,93E+03","2,08E+03","1,99E+02"
239,Yellow soil,12C,2,5,"1,72868 ","3,21E+03","1,43E+03","3,43E+02"
240,Yellow soil,12C,2,6,"1,72532 ","7,66E+03","7,90E+03","6,75E+02"
241,Yellow soil,12C,2,7,"1,72196 ","1,82E+04","4,03E+04","2,37E+03"
242,Yellow soil,12C,2,8,"1,71860 ","2,28E+04","1,73E+05","6,91E+03"
243,Yellow soil,12C,2,9,"1,71636 ","1,42E+05","1,13E+06","2,27E+04"
244,Yellow soil,12C,2,10,"1,71188 ","1,39E+06","1,91E+06","8,34E+04"
